Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1030450,RB11,RKA335500-DR000200,ACRYLAX-3355,CH9012,F02,PP01,"3,500.300",KG,8/1/2019,8/3/2019,0001
1030451,RB11,RKA1301M0-DR000200,ACRYLAX-1301M,CH9004,F02,PP01,"1,700.000",KG,8/1/2019,8/3/2019,0001
1030452,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CH9100,F02,PP01,"4,099.350",KG,8/1/2019,8/3/2019,0001
1030453,RB11,RKVV61450-BLK01000,VINYLAX-6145,CH9007,F02,PP01,"6,475.360",KG,8/2/2019,8/4/2019,0001
1030454,RB11,RKVV70600-DR000100,VINYLAX-706,CH9006,F02,PP01,"3,000.000",KG,8/1/2019,8/3/2019,0001
1030455,RB11,RKA180100-DR000100,ACRYLAX-1801,CH9007,F02,PP01,"3,593.350",KG,8/2/2019,8/4/2019,0001
1030456,RB11,RKA506000-DR000200,ACRYLAX-506,CH9073,F02,PP01,"12,530.000",KG,8/3/2019,8/5/2019,0001
1030457,RB11,ENGAL9039-BLK02500,ALMATEX-A-9039,CH9009,F02,PP01,"10,835.760",KG,8/2/2019,8/4/2019,0001
1030458,RB11,ENG5087SE-DR000200,ALMATEX-A-5087SE,CH9003,F02,PP01,"1,700.000",KG,8/2/2019,8/4/2019,0001
1030459,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CH9101,F02,PP01,"4,099.350",KG,8/2/2019,8/4/2019,0001
1030460,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CH9102,F02,PP01,"4,099.350",KG,8/2/2019,8/4/2019,0001
1030461,RB11,RKOSBBSA4-DR000080,STARBOND-BSA 4,CH9037,F02,PP01,"1,042.400",KG,8/2/2019,8/4/2019,0001
1030462,RB11,RKVV281L0-BLK01000,VINYLAX-281L,CH9008,F02,PP01,"5,012.000",KG,8/3/2019,8/5/2019,0001
1030464,RB11,RKA750200-DR000200,ACRYLAX-7502,CH9007,F02,PP01,"4,470.700",KG,8/3/2019,8/5/2019,0001
1030465,RB11,ENGAL9086-DR000200,ALMATEX-A-9086,CH9009,F02,PP01,"1,781.000",KG,8/5/2019,8/7/2019,0001
1030467,RB11,ENGSE3100-BLK20000,ALMATEX SE310,CH9032,F02,PP01,"20,000.000",KG,8/3/2019,8/3/2019,0001
1030468,RB11,RKUP61020-BLK01000,U-RAMIN P-6102,CH9007,F02,PP01,"3,838.000",KG,8/3/2019,8/5/2019,0001
1030470,RB11,RKAL9086P-DR000200,ALMATEX-A-9086P,CH9007,F02,PP01,"7,289.100",KG,8/1/2019,8/3/2019,0001
1030471,RB11,RKAL9086P-DR000200,ALMATEX-A-9086P,CH9008,F02,PP01,"7,289.100",KG,8/1/2019,8/3/2019,0001
1030474,RB11,ERAVU8800-KY000036,STRUCT BOND VU-880,CE9005,F02,PP01,108.000,KG,8/1/2019,8/1/2019,0001
1030475,RB11,ERAVU8800-KY000036,STRUCT BOND VU-880,CF9008,F02,PP01,252.000,KG,8/1/2019,8/1/2019,0001
1030479,RB11,UGMCM200R-KY000050,COSMONATE M-200,CC9002,F02,PP01,250.000,KG,8/3/2019,8/3/2019,0001
1030480,RB11,ERABW5600-KY000036,STRUCT BOND BW-5600,CF9019,F02,PP01,"1,271.000",KG,8/5/2019,8/5/2019,0001
1030481,RB11,ENGAL9009-DR000100,ALMATEX-A-9009,CG9020,F02,PP01,"1,000.000",KG,7/31/2019,7/31/2019,0001
1030482,RB11,ENFTL2160-DR000200,ALMATEX TL-216,CH9003,F01,PP01,"7,260.600",KG,8/1/2019,8/3/2019,0001
1030483,RB11,ENF750T00-DR000200,ALMATEX 750T,CH9002,F01,PP01,"3,001.500",KG,8/1/2019,8/3/2019,0001
1030484,RB11,ENR20N600-DR000200,U-VAN 20N60,CH9116,F01,PP01,"8,573.000",KG,8/2/2019,8/4/2019,0001
1030485,RB11,ENR220000-DR000200,U-VAN 220,CH9007,F01,PP01,350.000,KG,8/1/2019,8/4/2019,0001
1030486,RB11,ENFB310T0-DR000200,ALMATEX B310T,CH9004,F01,PP01,459.280,KG,8/2/2019,8/5/2019,0001
1030487,RB11,ENJQR331T-DR000200,OLESTER QR331T,CH9022,F01,PP01,"6,492.000",KG,8/2/2019,8/4/2019,0001
1030488,RB11,ENJQC4120-DR000200,OLESTER QC412,CH9011,F01,PP01,"7,035.900",KG,8/2/2019,8/4/2019,0001
1030489,RB11,ENR20N600-DR000200,U-VAN 20N60,CH9117,F01,PP01,"8,573.000",KG,8/2/2019,8/4/2019,0001
